3:20111001,  ModelAdvance
4:20111001,  ModelAdvance
5:20111001,  ModelAdvance
6:20111001,  ModelAdvance
7:20111001,  ModelAdvance
8:20111001,  ModelAdvance
9:20111001,  ModelAdvance
10:20111001,  ModelAdvance
11:20111001,  ModelAdvance
12:20111001,  ModelAdvance
13:20111001,  ModelAdvance
14:20111001,  ModelAdvance
15:20111001,  ModelAdvance
16:20111001,  ModelAdvance
17:20111001,  ModelAdvance
18:20111001,  ModelAdvance
19:20111001,  ModelAdvance
20:20111001,  ModelAdvance
21:20111001,  ModelAdvance
22:20111001,  ModelAdvance
23:20111001,  ModelAdvance
24:20111001,  ModelAdvance
25:20111001,  ModelAdvance
26:20111001,  ModelAdvance
27:20111001,  ModelAdvance
28:20111001,  ModelAdvance
29:20111001,  ModelAdvance
30:20111001,  ModelAdvance
31:20111001,  ModelAdvance
32:20111001,  ModelAdvance
33:20111001,  ModelAdvance
34:20111001,  ModelAdvance
35:20111001,  ModelAdvance
36:20111001,  ModelAdvance
37:20111001,  ModelAdvance
38:20111001,  ModelAdvance
39:20111001,  ModelAdvance
40:20111001,  ModelAdvance
41:20111001,  ModelAdvance
42:20111001,  ModelAdvance
43:20111001,  ModelAdvance
44:20111001,  ModelAdvance
45:20111001,  ModelAdvance
46:20111001,  ModelAdvance
47:20111001,  ModelAdvance
48:20111001,  ModelAdvance
49:20111001,  ModelAdvance
50:20111001,  ModelAdvance
51:20111001,  ModelAdvance
52:20111001,  ModelAdvance
53:20111001,  ModelAdvance
54:20111001,  ModelAdvance
55:20111001,  ModelAdvance
56:20111001,  ModelAdvance
57:20111001,  ModelAdvance
58:20111001,  ModelAdvance
59:20111001,  ModelAdvance
60:20111001,  ModelAdvance
61:20111001,  ModelAdvance
62:20111001,  ModelAdvance
63:20111001,  ModelAdvance
64:20111001,  ModelAdvance
65:20111001,  ModelAdvance
66:20111001,  ModelAdvance
67:20111001,  ModelAdvance
68:20111001,  ModelAdvance
69:20111001,  ModelAdvance
70:20111001,  ModelAdvance
71:20111001,  ModelAdvance
72:20111001,  ModelAdvance
73:20111001,  ModelAdvance
74:20111001,  ModelAdvance
75:20111001,  ModelAdvance
76:20111001,  ModelAdvance
77:20111001,  ModelAdvance
78:20111001,  ModelAdvance
79:20111001,  ModelAdvance
80:20111001,  ModelAdvance
81:20111001,  ModelAdvance
82:20111001,  ModelAdvance
83:20111001,  ModelAdvance
84:20111001,  ModelAdvance
85:20111001,  ModelAdvance
